userName,score,at,content
Melysa Kamelia putri,5,2026-05-07 08:07:10,ikd is the best
Ammy Ammy,5,2026-05-07 08:06:34,sangat puas
Nurul Fahrul Anggraini,5,2026-05-07 08:01:39,jos jis
Taufik Ashari,5,2026-05-07 07:43:59,mantap
Abd Asis,5,2026-05-07 07:42:59,sangat membantu
Raheem Palmer,1,2026-05-07 07:39:28,"kalo gak siap digital gausah digital2an lah, daftar aja masih offline!!! aplikasi ampas"
Roni & Nur,1,2026-05-07 07:19:20,"seharusnya gak perlu ke dukcapil buat verifikasi scan barcode, cukup verifikasi wajah biar tidak ribet,"
Tulus Parlindungan Sianturi,5,2026-05-07 07:14:20,mantap
Rizal,3,2026-05-07 07:02:55,ternyata harus ke Capil dulu untuk pendaftaran nya karena disuruh memindai kode QR nya
Rustam Ramli,5,2026-05-07 06:32:36,sangat bermanfaat sekali
itha 3264,5,2026-05-07 06:10:39,top
Feny Ningsih,3,2026-05-07 05:45:20,sangat membantu
Online Agung,5,2026-05-07 04:57:58,ok
Zulkifli 1920,1,2026-05-07 04:56:48,sangat bagus..tpy belum bisa di gunakan ntuk semua pelayanan contoh bandara
Munir ILmi,5,2026-05-07 04:47:10,ok
Stani Kojonian,5,2026-05-07 04:39:51,terbaik
Jainul Lukman,1,2026-05-07 04:36:32,kebanyakan update
yadi supriadi,1,2026-05-07 04:26:21,Tetap saja harus ke kantornya..
Shanum Shanum,5,2026-05-07 04:14:28,KTP digital sangat luar biasa
Edi Supandi,5,2026-05-07 04:10:48,baik
siti nuridah,5,2026-05-07 04:06:44,Memuaskan
Haris Wijaksono,1,2026-05-07 03:48:26,gonta ganti ae apl garai pusing ae
Shura K4,1,2026-05-07 03:48:17,"Aplikasi sampah pendaftaran akun masih perlu offline, gunanya kata ""digital"" apa?"
Agus adilparamarta,4,2026-05-07 03:23:00,mantaf
Solihin Lihin,1,2026-05-07 03:17:35,apk ini buat para yg puya hp coba bayangin kalo orang tua yg gak pya hp. mau gemana?? ribedddd
Heriadin Purnomo,5,2026-05-07 03:00:16,sangat membantu
muhammad arham,5,2026-05-07 02:44:42,setelah diupdate semakin lengkap
ruslan hani,5,2026-05-07 02:43:21,good
Riyadi Kebun,5,2026-05-07 02:41:33,sangat membantu
m hidayat,5,2026-05-07 02:38:18,sangat bermamp aat
Supiyah BintiGarijo,5,2026-05-07 02:02:03,sangat bermanfaat
Evan SR,5,2026-05-07 01:58:30,sangat membantu kami
Agus Iskandar,5,2026-05-07 01:56:42,sanagat baik
Eko Yudianto,5,2026-05-07 01:38:45,sangat efektif Dan mudah aksesnya
Ifuel Ashari,5,2026-05-07 01:36:56,Makin Mudah..Dalam Update Identitas
Bayi Tuwex,1,2026-05-07 01:35:03,"sudah punya akun mau masuk harus verif wajah , wajah sudah masuk frame tpi ga bisa di cepret ... masih enak verif wajah ke gojek"
Rusna Wati,4,2026-05-07 01:30:17,bgs banget membantuu
Wahyu Yudi,5,2026-05-07 01:29:15,mantap
berkah reoni,5,2026-05-07 01:09:07,"mantap Capil Purworejo, sangat bagus pelayanan nya"
Gede,1,2026-05-07 00:46:19,"Daftarnya gak bisa online kurang canggih,harus ke dukcapil buang2 waktu dan energi. Buang2 anggaran saja buat apk macam begini. Persis sama ektp ngabisin triliunan tp ngurus apa2 diminta fotocopiannya kan lucu buat apa chip yg ada dikartu. Kalah sama negara tetangga🤣🤣"
Simon Pakonglean,5,2026-05-07 00:21:41,ikd ok
Glam Rock,3,2026-05-07 00:16:05,"Mau masuk isi NIKA, selalu berulang. Permohonan surat domisili atau Surat Keterangan Penduduk Non Permanen online juga gak bergerak, haha.."
Andik Law,1,2026-05-06 22:39:28,error terus
Dede maulana,5,2026-05-06 18:23:50,sangat mebatu keperluan di balai kota urus
bang Ofy,5,2026-05-06 17:22:50,Aplikasi IKD Sangat Membantu Bagi Yang Mengerti
Slamet Riadi,5,2026-05-06 16:09:45,sangat bermanfaat
FERI JAL,5,2026-05-06 15:57:05,aplikasi sangat bermanfaat
Zainal Afrodi,5,2026-05-06 15:55:41,dimudahkan untuk identitas diri dan keluarga
Sinta Alin,5,2026-05-06 15:40:26,sanggar m mbantu
Varika Anggrestiani,5,2026-05-06 14:50:22,sangat membantu setiap membutuhkan
Tengku Khamzah Fauzii,1,2026-05-06 14:49:10,"KONSEPNYA GIMANA INI, APLIKASI ONLINE TPI PAS MAU DAFTAR HARUS OFFLINE DATANG KE KANTOR, PLENGER"
Noviar Z,5,2026-05-06 14:38:10,sangat membantu dan cepat dalam merespon masalah kependudukan.
Darojat 10,1,2026-05-06 14:07:45,Apk kocak wkwk Ku kira dengan adanya apk bisa serba mudah Ternyata sama saja Malah jadi beban di hp wkwkwk
Harry Cahyono,5,2026-05-06 14:04:04,good
Pemi Lestari,1,2026-05-06 13:55:49,"aplikasi tergajelas.. katanya mempermudah tapi tetep aja cuma mau daftar doang harus datang ke dukcapil untuk scan Qr, tau gini gabakal gw downlod,UNINSTAL AJA DEH"
dhea andreana,5,2026-05-06 13:30:38,membantu sekali
R Edi Sukardi,5,2026-05-06 13:27:25,Keren
nadia kaila anggraeni,1,2026-05-06 13:10:54,ribet harus update aplikasi nya terus
Rudi,5,2026-05-06 13:08:03,sangat bagus dan terbantu
pur wanto,5,2026-05-06 12:11:24,bagus sekali
Bayu Tirta,1,2026-05-06 11:53:08,"apl ribet,ga ngebantu"
Jumbo CRM,5,2026-05-06 11:22:01,Semoga data Aman
mangku komang,5,2026-05-06 11:18:46,bagus
Riski Maulana,5,2026-05-06 11:05:28,bagus
Fachrul Anam,3,2026-05-06 10:41:14,bagus cuma tingkatkan lagi aplikasinya agar lebih bagus
Salman Al Farisi,1,2026-05-06 10:25:36,Setelah update app tidak kompatibel
Sibak Agam,1,2026-05-06 10:11:50,"tidak berfungsi kayak nya,,permohonan cetak KK aja sangat lama sudah 2 mnggu tapi masih gutu2 aja"
Mubarok Gonzales,1,2026-05-06 09:55:21,apk tolol
Azwar Lukman,5,2026-05-06 09:39:21,bagus bangett
Aris Daeng,1,2026-05-06 09:31:23,mengajukan permohonan cetk ulang kk dari tanggl 18 april 2026- 06 mei 2026 blum di proses.status aktif. blum juga selesai ini aplikasi nya guna nya apa???
Cipta Allodya,5,2026-05-06 08:17:40,super excelent
Farida Hastuti,5,2026-05-06 08:09:35,"Alhamdulillah sekarang zamannya sudah digitalisasi membuat arsip apapun jadi lebih mudah, terimakasih kepada Pemerintah beserta Jajarannya...Terus maju wahai Bangsaku🙏🙏🙏"
Azam Firdaus Gaffar,5,2026-05-06 08:07:04,"Sangat Membantu, tp sebaiknya di Tingkat kan lagi.. karna setiap kali mau masuk ke apk harus memulai dari awal lagi"
Putra Pratama,5,2026-05-06 08:04:07,Bagus
Bas,5,2026-05-06 07:54:32,mantapppp
Anugerah Jaya,5,2026-05-06 07:53:29,proses cepat
Ita Mawarsari,5,2026-05-06 07:48:00,"bagus sangat membantu bisa dibawa ke mana- mana,asalkan jangan sampai hp kita hilang aja ya..."
Nani Suryani,5,2026-05-06 07:37:25,Terimakasih....
Pendekar millenium,5,2026-05-06 07:32:22,ok mantap
Acil Bogel,5,2026-05-06 07:27:28,pelayanan cepat
Satrio Manggilo,5,2026-05-06 07:19:47,sangat membantu
Loesy Joe D2,5,2026-05-06 07:13:41,print kk klo bisa sdh tdk ada watermarknya min
Biru Rawisrengga,5,2026-05-06 06:58:58,baik
Nurdin Alex,5,2026-05-06 06:29:46,sangat membantu
Faisal Trian Maulana,5,2026-05-06 06:24:18,asolole jos
Jefry Dwi Pranata,1,2026-05-06 06:18:29,"Untuk apa membuat layanan digital, tapi masih harus ada proses offline ke dukcapil?, Mau verifikasi data sebagai warga negara aja kok susah.."
Ekka123 evolution,2,2026-05-06 06:00:42,lemot dan tidak ada perubahan yang signifikan.tak guna
Ardana Putera Thedja,5,2026-05-06 05:33:04,Bagus sekali
Amin Kasim,5,2026-05-06 05:22:12,sangat membantu
Rush Minto,5,2026-05-06 05:20:29,good
Natalia Dwi Hartati,5,2026-05-06 05:04:58,"membantu yg suka lupa bawa ktp, cumn seprti akte blum langsung masuk"
Syarif Hidayat,5,2026-05-06 04:43:18,sangat membantu
Nardila Dila,2,2026-05-06 04:32:54,"bukannya mempermudah malah di suruh dtg ke kantor Capil, sama juga offline. klo udah buat apk tinggal fotoin KTP atau manusia nya dan sidik jari udah cukup, ga perlu dtg ke petugasnya lagi. apk ribet, yg jauh dr kantor apa kabar bolak balik hny utk sebuah apk. mohon di perbaiki lagi,🙏"
Rizki maulana,1,2026-05-06 03:45:36,"APK BUSUK,SUSAH MASUK UDAH GITU PEMBAHARUAN TERUS."
"OM, azat Sudrazat",5,2026-05-06 03:40:26,bermanfaat
andre diaz,1,2026-05-06 03:34:29,"tidak bisa daftar secara online, harus nya aplikasi itu gak terlalu ribet gini.. daftar aja pake harus ke kantor kecamatan segala. jadikan aplikasi yg mudah cara pemakaian serta pendaftaran nya, upgrade menjadi aplikasi yg dapat di gunakan secara online tanpa terbelit2 ke kantor kecamatan segala.. kenapa pendaftaran nya harus ribet gini, kenapa gak di buat secara online biar lebih mudah.. maaf bintang 1 aplikasi nya nyusahin"
Andre Marthen Uktolseja,5,2026-05-06 03:32:45,Bagus Tapi... RUWET!!!!
Bekecot Ngesot,1,2026-05-06 03:29:41,ini apk pemerintah tp cara kerja gak seperti dipemerintahan malah kyk murip apk game sebulan lalu hp ilang dan apk dibuka di hp baru awalnya bisa dibuka tpi kenapa setelah satu bulan g ada konfirmasi atau pemberitahuan kalo apk nya gak bisa di buka tolong jangan dibikin ribet
sembi meliala,5,2026-05-06 03:11:58,Mantap. Izin usul agar verifikasi ke Kantor camat masing -masing aza
Uzumaki Naruto,5,2026-05-06 03:09:58,"tambahin data SIM dong,biar lebih banyak,kan sudah ada KTP,KK,Akte,+SIM"
